Địa điểm khởi hành,Địa điểm đến,Hãng hàng không,Số hiệu chuyến bay,Ngày khởi hành,Giờ khởi hành,Giờ đến,Thời gian bay,Giá,Hạng vé
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN206,07/07/2024,06:00,08:10,02h 10m,"2,561,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN224,07/07/2024,22:00,00:05,02h 5m,"2,561,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN270,07/07/2024,23:00,01:05,02h 5m,"2,561,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN7204,07/07/2024,06:45,08:30,01h 45m,"2,561,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN7218,07/07/2024,22:30,00:35,02h 5m,"2,561,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ1132,07/07/2024,01:20,03:30,02h 10m,"2,761,000 VND",Deluxe
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ1136,07/07/2024,01:30,03:40,02h 10m,"2,761,000 VND",Deluxe
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ182,07/07/2024,04:55,07:10,02h 15m,"2,761,000 VND",Deluxe
Hồ Chí Minh (SGN),Hà Nội (HAN),Bamboo Airways,QH204,07/07/2024,07:45,09:55,02h 10m,"2,813,000 VND",EconomySmart
Hồ Chí Minh (SGN),Hà Nội (HAN),Bamboo Airways,QH242,07/07/2024,13:35,15:45,02h 10m,"2,813,000 VND",EconomySmart
Hồ Chí Minh (SGN),Hà Nội (HAN),Bamboo Airways,QH244,07/07/2024,15:15,17:25,02h 10m,"2,813,000 VND",EconomySmart
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN204,07/07/2024,05:00,07:05,02h 5m,"2,808,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN206,07/07/2024,06:00,08:10,02h 10m,"2,808,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN224,07/07/2024,22:00,00:05,02h 5m,"2,808,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN256,07/07/2024,20:45,22:50,02h 5m,"2,808,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN260,07/07/2024,20:55,23:00,02h 5m,"2,808,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN270,07/07/2024,23:00,01:05,02h 5m,"2,808,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN7204,07/07/2024,06:45,08:30,01h 45m,"2,808,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN7216,07/07/2024,21:30,23:35,02h 5m,"2,808,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN7218,07/07/2024,22:30,00:35,02h 5m,"2,808,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN204,07/07/2024,05:00,07:05,02h 5m,"3,028,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN206,07/07/2024,06:00,08:10,02h 10m,"3,028,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN208,07/07/2024,08:00,10:15,02h 15m,"3,028,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN210,07/07/2024,10:00,12:15,02h 15m,"3,028,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN212,07/07/2024,12:00,14:15,02h 15m,"3,028,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN216,07/07/2024,16:00,18:15,02h 15m,"3,028,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN220,07/07/2024,20:00,22:15,02h 15m,"3,028,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN224,07/07/2024,22:00,00:05,02h 5m,"3,028,000 VND",Phổ thông tiết kiệm
