Địa điểm khởi hành,Địa điểm đến,Hãng hàng không,Số hiệu chuyến bay,Ngày khởi hành,Giờ khởi hành,Giờ đến,Thời gian bay,Giá,Hạng vé
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietravel Airlines,VU720,01/07/2024,18:50,21:10,02h 20m,"2,071,000 VND",ECONOMY
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietravel Airlines,VU750,01/07/2024,05:45,07:50,02h 5m,"2,071,000 VND",ECONOMY
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ1132,01/07/2024,01:20,03:30,02h 10m,"2,009,000 VND",Eco
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ1136,01/07/2024,01:20,03:30,02h 10m,"2,009,000 VND",Eco
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ1138,01/07/2024,23:25,01:35,02h 10m,"2,009,000 VND",Eco
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ160,01/07/2024,21:55,00:05,02h 10m,"2,009,000 VND",Eco
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ162,01/07/2024,22:50,01:00,02h 10m,"2,009,000 VND",Eco
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ176,01/07/2024,22:20,00:10,01h 50m,"2,009,000 VND",Eco
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ180,01/07/2024,23:55,02:05,02h 10m,"2,009,000 VND",Eco
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ182,01/07/2024,04:55,07:10,02h 15m,"2,009,000 VND",Eco
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ184,01/07/2024,22:15,00:25,02h 10m,"2,009,000 VND",Eco
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ192,01/07/2024,22:15,00:25,02h 10m,"2,009,000 VND",Eco
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ194,01/07/2024,23:00,01:10,02h 10m,"2,009,000 VND",Eco
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ198,01/07/2024,05:25,07:35,02h 10m,"2,009,000 VND",Eco
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN270,01/07/2024,23:00,01:05,02h 5m,"2,069,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ120,01/07/2024,06:00,08:10,02h 10m,"2,165,000 VND",Eco
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ134,01/07/2024,12:30,14:40,02h 10m,"2,165,000 VND",Eco
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ136,01/07/2024,13:20,15:30,02h 10m,"2,165,000 VND",Eco
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ140,01/07/2024,14:40,16:50,02h 10m,"2,165,000 VND",Eco
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ142,01/07/2024,15:30,17:40,02h 10m,"2,165,000 VND",Eco
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ144,01/07/2024,16:35,18:45,02h 10m,"2,165,000 VND",Eco
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ148,01/07/2024,16:50,18:55,02h 5m,"2,165,000 VND",Eco
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ154,01/07/2024,18:30,20:40,02h 10m,"2,165,000 VND",Eco
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ156,01/07/2024,19:40,21:50,02h 10m,"2,165,000 VND",Eco
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ158,01/07/2024,20:50,23:00,02h 10m,"2,165,000 VND",Eco
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ166,01/07/2024,20:15,22:25,02h 10m,"2,165,000 VND",Eco
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ172,01/07/2024,12:10,14:20,02h 10m,"2,165,000 VND",Eco
Hồ Chí Minh (SGN),Hà Nội (HAN),Bamboo Airways,QH202,01/07/2024,05:25,07:35,02h 10m,"2,320,000 VND",EconomySmart
Hồ Chí Minh (SGN),Hà Nội (HAN),Bamboo Airways,QH286,01/07/2024,21:55,00:05,02h 10m,"2,320,000 VND",EconomySmart
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN224,01/07/2024,22:00,00:05,02h 5m,"2,315,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN256,01/07/2024,20:45,22:50,02h 5m,"2,315,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN260,01/07/2024,21:00,23:05,02h 5m,"2,315,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN270,01/07/2024,23:00,01:05,02h 5m,"2,315,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN7216,01/07/2024,21:30,23:35,02h 5m,"2,315,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ1142,01/07/2024,09:30,11:40,02h 10m,"2,372,000 VND",Eco
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ122,01/07/2024,07:00,09:10,02h 10m,"2,372,000 VND",Eco
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ126,01/07/2024,08:45,11:00,02h 15m,"2,372,000 VND",Eco
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ128,01/07/2024,09:45,11:55,02h 10m,"2,372,000 VND",Eco
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ130,01/07/2024,10:10,12:20,02h 10m,"2,372,000 VND",Eco
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietravel Airlines,VU720,01/07/2024,18:50,21:10,02h 20m,"2,525,000 VND",ECONOMY
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietravel Airlines,VU750,01/07/2024,05:45,07:50,02h 5m,"2,525,000 VND",ECONOMY
Hồ Chí Minh (SGN),Hà Nội (HAN),Bamboo Airways,QH278,01/07/2024,20:35,22:45,02h 10m,"2,540,000 VND",EconomySmart
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN204,01/07/2024,05:00,07:05,02h 5m,"2,561,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN224,01/07/2024,22:00,00:05,02h 5m,"2,561,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN256,01/07/2024,20:45,22:50,02h 5m,"2,561,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN260,01/07/2024,21:00,23:05,02h 5m,"2,561,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN270,01/07/2024,23:00,01:05,02h 5m,"2,561,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN7204,01/07/2024,06:25,08:30,02h 5m,"2,561,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN7208,01/07/2024,05:30,07:35,02h 5m,"2,561,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN7216,01/07/2024,21:30,23:35,02h 5m,"2,561,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN7258,01/07/2024,06:30,08:35,02h 5m,"2,561,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Hà Nội (HAN),Bamboo Airways,QH204,01/07/2024,07:45,09:55,02h 10m,"2,813,000 VND",EconomySmart
Hồ Chí Minh (SGN),Hà Nội (HAN),Bamboo Airways,QH242,01/07/2024,13:35,15:45,02h 10m,"2,813,000 VND",EconomySmart
Hồ Chí Minh (SGN),Hà Nội (HAN),Bamboo Airways,QH244,01/07/2024,15:15,17:25,02h 10m,"2,813,000 VND",EconomySmart
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN204,01/07/2024,05:00,07:05,02h 5m,"2,808,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN206,01/07/2024,06:00,08:10,02h 10m,"2,808,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN212,01/07/2024,12:00,14:15,02h 15m,"2,808,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN220,01/07/2024,20:00,22:15,02h 15m,"2,808,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN224,01/07/2024,22:00,00:05,02h 5m,"2,808,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN252,01/07/2024,16:40,19:10,02h 30m,"2,808,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN254,01/07/2024,17:00,19:15,02h 15m,"2,808,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN256,01/07/2024,20:45,22:50,02h 5m,"2,808,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN258,01/07/2024,19:00,21:15,02h 15m,"2,808,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN260,01/07/2024,21:00,23:05,02h 5m,"2,808,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN262,01/07/2024,19:35,21:40,02h 5m,"2,808,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN270,01/07/2024,23:00,01:05,02h 5m,"2,808,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN7204,01/07/2024,06:25,08:30,02h 5m,"2,808,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN7208,01/07/2024,05:30,07:35,02h 5m,"2,808,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN7216,01/07/2024,21:30,23:35,02h 5m,"2,808,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN7220,01/07/2024,17:30,19:35,02h 5m,"2,808,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN7258,01/07/2024,06:30,08:35,02h 5m,"2,808,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ1132,01/07/2024,01:20,03:30,02h 10m,"2,916,000 VND",Deluxe
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ1136,01/07/2024,01:20,03:30,02h 10m,"2,916,000 VND",Deluxe
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ1138,01/07/2024,23:25,01:35,02h 10m,"2,916,000 VND",Deluxe
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ160,01/07/2024,21:55,00:05,02h 10m,"2,916,000 VND",Deluxe
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ162,01/07/2024,22:50,01:00,02h 10m,"2,916,000 VND",Deluxe
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ176,01/07/2024,22:20,00:10,01h 50m,"2,916,000 VND",Deluxe
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ180,01/07/2024,23:55,02:05,02h 10m,"2,916,000 VND",Deluxe
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ182,01/07/2024,04:55,07:10,02h 15m,"2,916,000 VND",Deluxe
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ184,01/07/2024,22:15,00:25,02h 10m,"2,916,000 VND",Deluxe
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ192,01/07/2024,22:15,00:25,02h 10m,"2,916,000 VND",Deluxe
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ194,01/07/2024,23:00,01:10,02h 10m,"2,916,000 VND",Deluxe
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ198,01/07/2024,05:25,07:35,02h 10m,"2,916,000 VND",Deluxe
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN204,01/07/2024,05:00,07:05,02h 5m,"3,028,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN206,01/07/2024,06:00,08:10,02h 10m,"3,028,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN208,01/07/2024,08:00,10:15,02h 15m,"3,028,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN212,01/07/2024,12:00,14:15,02h 15m,"3,028,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN216,01/07/2024,16:00,18:15,02h 15m,"3,028,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN218,01/07/2024,18:00,20:15,02h 15m,"3,028,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN220,01/07/2024,20:00,22:15,02h 15m,"3,028,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN224,01/07/2024,22:00,00:05,02h 5m,"3,028,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN240,01/07/2024,07:00,09:15,02h 15m,"3,028,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN246,01/07/2024,11:00,13:15,02h 15m,"3,028,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN252,01/07/2024,16:40,19:10,02h 30m,"3,028,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN254,01/07/2024,17:00,19:15,02h 15m,"3,028,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN256,01/07/2024,20:45,22:50,02h 5m,"3,028,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN258,01/07/2024,19:00,21:15,02h 15m,"3,028,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN260,01/07/2024,21:00,23:05,02h 5m,"3,028,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN262,01/07/2024,19:35,21:40,02h 5m,"3,028,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietnam Airlines,VN270,01/07/2024,23:00,01:05,02h 5m,"3,028,000 VND",Phổ thông tiết kiệm
