Địa điểm khởi hành,Địa điểm đến,Hãng hàng không,Số hiệu chuyến bay,Ngày khởi hành,Giờ khởi hành,Giờ đến,Thời gian bay,Giá,Hạng vé
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietjet Air,VJ630,06/07/2024,13:25,14:45,01h 20m,"2,152,000 VND",Eco
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietjet Air,VJ1626,06/07/2024,22:00,23:25,01h 25m,"2,242,000 VND",Deluxe
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietjet Air,VJ644,06/07/2024,23:05,00:25,01h 20m,"2,242,000 VND",Deluxe
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietjet Air,VJ646,06/07/2024,22:10,23:30,01h 20m,"2,242,000 VND",Deluxe
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietnam Airlines,VN142,06/07/2024,21:15,22:35,01h 20m,"2,250,000 VND",Phổ thông tiêu chuẩn
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietnam Airlines,VN146,06/07/2024,20:10,21:35,01h 25m,"2,250,000 VND",Phổ thông tiêu chuẩn
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietnam Airlines,VN148,06/07/2024,21:00,22:25,01h 25m,"2,250,000 VND",Phổ thông tiêu chuẩn
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietnam Airlines,VN7094,06/07/2024,23:45,01:05,01h 20m,"2,250,000 VND",Phổ thông tiêu chuẩn
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietnam Airlines,VN7106,06/07/2024,20:45,22:05,01h 20m,"2,250,000 VND",Phổ thông tiêu chuẩn
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietnam Airlines,VN7112,06/07/2024,19:45,21:05,01h 20m,"2,250,000 VND",Phổ thông tiêu chuẩn
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietnam Airlines,VN7114,06/07/2024,05:40,07:00,01h 20m,"2,250,000 VND",Phổ thông tiêu chuẩn
