Địa điểm khởi hành,Địa điểm đến,Hãng hàng không,Số hiệu chuyến bay,Ngày khởi hành,Giờ khởi hành,Giờ đến,Thời gian bay,Giá,Hạng vé
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietjet Air,VJ1626,02/07/2024,22:00,23:25,01h 25m,"1,206,000 VND",Eco
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietjet Air,VJ644,02/07/2024,23:05,00:25,01h 20m,"1,206,000 VND",Eco
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietjet Air,VJ646,02/07/2024,22:10,23:30,01h 20m,"1,206,000 VND",Eco
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietjet Air,VJ640,02/07/2024,20:30,21:50,01h 20m,"1,335,000 VND",Eco
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietjet Air,VJ642,02/07/2024,19:05,20:25,01h 20m,"1,335,000 VND",Eco
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietravel Airlines,VU680,02/07/2024,21:30,22:50,01h 20m,"1,371,000 VND",ECONOMY
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietnam Airlines,VN142,02/07/2024,21:15,22:35,01h 20m,"1,472,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietnam Airlines,VN7094,02/07/2024,23:45,01:05,01h 20m,"1,472,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietnam Airlines,VN7134,02/07/2024,22:25,23:45,01h 20m,"1,472,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietjet Air,VJ636,02/07/2024,18:35,19:55,01h 20m,"1,491,000 VND",Eco
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietjet Air,VJ638,02/07/2024,18:00,19:20,01h 20m,"1,491,000 VND",Eco
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Bamboo Airways,QH170,02/07/2024,21:10,22:35,01h 25m,"1,530,000 VND",EconomySmart
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietnam Airlines,VN142,02/07/2024,21:15,22:35,01h 20m,"1,642,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietnam Airlines,VN7094,02/07/2024,23:45,01:05,01h 20m,"1,642,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietnam Airlines,VN7134,02/07/2024,22:25,23:45,01h 20m,"1,642,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietjet Air,VJ632,02/07/2024,15:40,17:00,01h 20m,"1,659,000 VND",Eco
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietjet Air,VJ634,02/07/2024,15:45,17:05,01h 20m,"1,659,000 VND",Eco
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Bamboo Airways,QH150,02/07/2024,05:30,07:00,01h 30m,"1,698,000 VND",EconomySmart
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietnam Airlines,VN142,02/07/2024,21:15,22:35,01h 20m,"1,783,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietnam Airlines,VN148,02/07/2024,20:55,22:25,01h 30m,"1,783,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietnam Airlines,VN7094,02/07/2024,23:45,01:05,01h 20m,"1,783,000 VND",Phổ thông tiết kiệm
