Địa điểm khởi hành,Địa điểm đến,Hãng hàng không,Số hiệu chuyến bay,Ngày khởi hành,Giờ khởi hành,Giờ đến,Thời gian bay,Giá,Hạng vé
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietjet Air,VJ1626,07/07/2024,22:00,23:25,01h 25m,"1,206,000 VND",Eco
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietjet Air,VJ644,07/07/2024,23:05,00:25,01h 20m,"1,206,000 VND",Eco
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietjet Air,VJ646,07/07/2024,22:10,23:30,01h 20m,"1,206,000 VND",Eco
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietjet Air,VJ640,07/07/2024,20:30,21:50,01h 20m,"1,335,000 VND",Eco
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietjet Air,VJ642,07/07/2024,19:05,20:25,01h 20m,"1,335,000 VND",Eco
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietravel Airlines,VU680,07/07/2024,21:30,22:50,01h 20m,"1,371,000 VND",ECONOMY
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietnam Airlines,VN142,07/07/2024,21:15,22:35,01h 20m,"1,472,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietnam Airlines,VN148,07/07/2024,21:05,22:25,01h 20m,"1,472,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietnam Airlines,VN7094,07/07/2024,23:45,01:05,01h 20m,"1,472,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietnam Airlines,VN7106,07/07/2024,20:45,22:05,01h 20m,"1,472,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietnam Airlines,VN7134,07/07/2024,22:25,23:45,01h 20m,"1,472,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietjet Air,VJ634,07/07/2024,15:45,17:05,01h 20m,"1,491,000 VND",Eco
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietjet Air,VJ638,07/07/2024,18:00,19:20,01h 20m,"1,491,000 VND",Eco
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Bamboo Airways,QH170,07/07/2024,21:10,22:35,01h 25m,"1,530,000 VND",EconomySmart
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietnam Airlines,VN142,07/07/2024,21:15,22:35,01h 20m,"1,642,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietnam Airlines,VN146,07/07/2024,20:10,21:35,01h 25m,"1,642,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietnam Airlines,VN148,07/07/2024,21:05,22:25,01h 20m,"1,642,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietnam Airlines,VN7094,07/07/2024,23:45,01:05,01h 20m,"1,642,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietnam Airlines,VN7106,07/07/2024,20:45,22:05,01h 20m,"1,642,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietnam Airlines,VN7134,07/07/2024,22:25,23:45,01h 20m,"1,642,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietjet Air,VJ1638,07/07/2024,14:35,15:55,01h 20m,"1,659,000 VND",Eco
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietjet Air,VJ620,07/07/2024,05:35,06:55,01h 20m,"1,659,000 VND",Eco
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietjet Air,VJ632,07/07/2024,15:40,17:00,01h 20m,"1,659,000 VND",Eco
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietjet Air,VJ636,07/07/2024,18:35,19:55,01h 20m,"1,659,000 VND",Eco
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Bamboo Airways,QH150,07/07/2024,05:30,07:00,01h 30m,"1,698,000 VND",EconomySmart
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietravel Airlines,VU672,07/07/2024,08:05,09:30,01h 25m,"1,786,000 VND",ECONOMY
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietnam Airlines,VN138,07/07/2024,16:20,17:40,01h 20m,"1,783,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietnam Airlines,VN142,07/07/2024,21:15,22:35,01h 20m,"1,783,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietnam Airlines,VN146,07/07/2024,20:10,21:35,01h 25m,"1,783,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietnam Airlines,VN148,07/07/2024,21:05,22:25,01h 20m,"1,783,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietnam Airlines,VN7094,07/07/2024,23:45,01:05,01h 20m,"1,783,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietnam Airlines,VN7106,07/07/2024,20:45,22:05,01h 20m,"1,783,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietnam Airlines,VN7112,07/07/2024,19:45,21:05,01h 20m,"1,783,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietnam Airlines,VN7134,07/07/2024,22:25,23:45,01h 20m,"1,783,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietnam Airlines,VN7146,07/07/2024,18:50,20:10,01h 20m,"1,783,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietjet Air,VJ622,07/07/2024,07:05,08:25,01h 20m,"1,854,000 VND",Eco
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietjet Air,VJ630,07/07/2024,13:25,14:45,01h 20m,"1,854,000 VND",Eco
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Bamboo Airways,QH152,07/07/2024,09:40,11:05,01h 25m,"1,892,000 VND",EconomySmart
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Bamboo Airways,QH162,07/07/2024,14:00,15:25,01h 25m,"1,892,000 VND",EconomySmart
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietravel Airlines,VU672,07/07/2024,08:05,09:30,01h 25m,"1,929,000 VND",ECONOMY
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietravel Airlines,VU680,07/07/2024,21:30,22:50,01h 20m,"1,929,000 VND",ECONOMY
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietnam Airlines,VN106,07/07/2024,06:00,07:20,01h 20m,"1,939,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietnam Airlines,VN138,07/07/2024,16:20,17:40,01h 20m,"1,939,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietnam Airlines,VN142,07/07/2024,21:15,22:35,01h 20m,"1,939,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietnam Airlines,VN146,07/07/2024,20:10,21:35,01h 25m,"1,939,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietnam Airlines,VN148,07/07/2024,21:05,22:25,01h 20m,"1,939,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietnam Airlines,VN7094,07/07/2024,23:45,01:05,01h 20m,"1,939,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietnam Airlines,VN7106,07/07/2024,20:45,22:05,01h 20m,"1,939,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietnam Airlines,VN7112,07/07/2024,19:45,21:05,01h 20m,"1,939,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietnam Airlines,VN7114,07/07/2024,05:40,07:00,01h 20m,"1,939,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietnam Airlines,VN7134,07/07/2024,22:25,23:45,01h 20m,"1,939,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietnam Airlines,VN7146,07/07/2024,18:50,20:10,01h 20m,"1,939,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietjet Air,VJ628,07/07/2024,11:05,12:25,01h 20m,"1,996,000 VND",Eco
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietnam Airlines,VN106,07/07/2024,06:00,07:20,01h 20m,"2,095,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietnam Airlines,VN110,07/07/2024,07:00,08:20,01h 20m,"2,095,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietnam Airlines,VN134,07/07/2024,15:30,16:50,01h 20m,"2,095,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietnam Airlines,VN138,07/07/2024,16:20,17:40,01h 20m,"2,095,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietnam Airlines,VN142,07/07/2024,21:15,22:35,01h 20m,"2,095,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietnam Airlines,VN146,07/07/2024,20:10,21:35,01h 25m,"2,095,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietnam Airlines,VN148,07/07/2024,21:05,22:25,01h 20m,"2,095,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietnam Airlines,VN7094,07/07/2024,23:45,01:05,01h 20m,"2,095,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietnam Airlines,VN7104,07/07/2024,15:35,16:55,01h 20m,"2,095,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietnam Airlines,VN7106,07/07/2024,20:45,22:05,01h 20m,"2,095,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietnam Airlines,VN7108,07/07/2024,14:45,16:05,01h 20m,"2,095,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietnam Airlines,VN7112,07/07/2024,19:45,21:05,01h 20m,"2,095,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietnam Airlines,VN7114,07/07/2024,05:40,07:00,01h 20m,"2,095,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietnam Airlines,VN7134,07/07/2024,22:25,23:45,01h 20m,"2,095,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietnam Airlines,VN7146,07/07/2024,18:50,20:10,01h 20m,"2,095,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietjet Air,VJ1626,07/07/2024,22:00,23:25,01h 25m,"2,113,000 VND",Deluxe
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietjet Air,VJ644,07/07/2024,23:05,00:25,01h 20m,"2,113,000 VND",Deluxe
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietjet Air,VJ646,07/07/2024,22:10,23:30,01h 20m,"2,113,000 VND",Deluxe
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietjet Air,VJ640,07/07/2024,20:30,21:50,01h 20m,"2,242,000 VND",Deluxe
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietjet Air,VJ642,07/07/2024,19:05,20:25,01h 20m,"2,242,000 VND",Deluxe
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietnam Airlines,VN106,07/07/2024,06:00,07:20,01h 20m,"2,250,000 VND",Phổ thông tiêu chuẩn
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietnam Airlines,VN110,07/07/2024,07:00,08:20,01h 20m,"2,250,000 VND",Phổ thông tiêu chuẩn
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietnam Airlines,VN114,07/07/2024,08:30,09:50,01h 20m,"2,250,000 VND",Phổ thông tiêu chuẩn
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietnam Airlines,VN118,07/07/2024,08:55,10:15,01h 20m,"2,250,000 VND",Phổ thông tiêu chuẩn
Hồ Chí Minh (SGN),Đà Nẵng (DAD),Vietnam Airlines,VN126,07/07/2024,11:45,13:05,01h 20m,"2,250,000 VND",Phổ thông tiêu chuẩn
