Địa điểm khởi hành,Địa điểm đến,Hãng hàng không,Số hiệu chuyến bay,Ngày khởi hành,Giờ khởi hành,Giờ đến,Thời gian bay,Giá,Hạng vé
Hồ Chí Minh (SGN),Phú Quốc (PQC),Vietravel Airlines,VU303,06/07/2024,17:05,18:10,01h 5m,"1,333,000 VND",ECONOMY
Hồ Chí Minh (SGN),Phú Quốc (PQC),Vietnam Airlines,VN7841,06/07/2024,00:20,01:20,01h 0m,"1,318,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Phú Quốc (PQC),Vietnam Airlines,VN7843,06/07/2024,00:50,01:50,01h 0m,"1,318,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Phú Quốc (PQC),Vietnam Airlines,VN7845,06/07/2024,01:00,02:00,01h 0m,"1,318,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Phú Quốc (PQC),Vietnam Airlines,VN7841,06/07/2024,00:20,01:20,01h 0m,"1,447,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Phú Quốc (PQC),Vietnam Airlines,VN7843,06/07/2024,00:50,01:50,01h 0m,"1,447,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Phú Quốc (PQC),Vietnam Airlines,VN7845,06/07/2024,01:00,02:00,01h 0m,"1,447,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Phú Quốc (PQC),Vietravel Airlines,VU303,06/07/2024,17:05,18:10,01h 5m,"1,540,000 VND",ECONOMY
Hồ Chí Minh (SGN),Phú Quốc (PQC),Vietnam Airlines,VN7841,06/07/2024,00:20,01:20,01h 0m,"1,577,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Phú Quốc (PQC),Vietnam Airlines,VN7843,06/07/2024,00:50,01:50,01h 0m,"1,577,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Phú Quốc (PQC),Vietnam Airlines,VN7845,06/07/2024,01:00,02:00,01h 0m,"1,577,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Phú Quốc (PQC),Vietjet Air,VJ321,06/07/2024,05:40,06:40,01h 0m,"1,594,000 VND",Eco
Hồ Chí Minh (SGN),Phú Quốc (PQC),Vietjet Air,VJ323,06/07/2024,07:30,08:30,01h 0m,"1,594,000 VND",Eco
Hồ Chí Minh (SGN),Phú Quốc (PQC),Vietjet Air,VJ327,06/07/2024,12:35,13:35,01h 0m,"1,594,000 VND",Eco
Hồ Chí Minh (SGN),Phú Quốc (PQC),Vietjet Air,VJ329,06/07/2024,15:15,16:25,01h 10m,"1,594,000 VND",Eco
Hồ Chí Minh (SGN),Phú Quốc (PQC),Vietjet Air,VJ331,06/07/2024,15:35,16:35,01h 0m,"1,594,000 VND",Eco
Hồ Chí Minh (SGN),Phú Quốc (PQC),Vietnam Airlines,VN7841,06/07/2024,00:20,01:20,01h 0m,"1,706,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Phú Quốc (PQC),Vietnam Airlines,VN7843,06/07/2024,00:50,01:50,01h 0m,"1,706,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Phú Quốc (PQC),Vietnam Airlines,VN7845,06/07/2024,01:00,02:00,01h 0m,"1,706,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Phú Quốc (PQC),Vietjet Air,VJ325,06/07/2024,10:15,11:15,01h 0m,"1,724,000 VND",Eco
Hồ Chí Minh (SGN),Phú Quốc (PQC),Vietnam Airlines,VN7841,06/07/2024,00:20,01:20,01h 0m,"1,823,000 VND",Phổ thông tiết kiệm
