Địa điểm khởi hành,Địa điểm đến,Hãng hàng không,Số hiệu chuyến bay,Ngày khởi hành,Giờ khởi hành,Giờ đến,Thời gian bay,Giá,Hạng vé
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietjet Air,VJ1139,05/07/2024,02:15,04:25,02h 10m,"1,854,000 VND",Eco
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietjet Air,VJ191,05/07/2024,04:50,07:00,02h 10m,"1,854,000 VND",Eco
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietravel Airlines,VU727,05/07/2024,21:50,00:05,02h 15m,"2,071,000 VND",ECONOMY
Hà Nội (HAN),Hồ Chí Minh (SGN),Bamboo Airways,QH289,05/07/2024,23:30,01:40,02h 10m,"2,087,000 VND",EconomySmart
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietjet Air,VJ1131,05/07/2024,22:40,00:50,02h 10m,"2,165,000 VND",Eco
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietjet Air,VJ1135,05/07/2024,22:50,01:00,02h 10m,"2,165,000 VND",Eco
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietjet Air,VJ123,05/07/2024,07:00,09:10,02h 10m,"2,165,000 VND",Eco
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietjet Air,VJ157,05/07/2024,21:45,23:55,02h 10m,"2,165,000 VND",Eco
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietjet Air,VJ163,05/07/2024,22:50,01:00,02h 10m,"2,165,000 VND",Eco
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietjet Air,VJ165,05/07/2024,23:05,01:15,02h 10m,"2,165,000 VND",Eco
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietjet Air,VJ167,05/07/2024,22:05,00:15,02h 10m,"2,165,000 VND",Eco
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietjet Air,VJ181,05/07/2024,22:55,01:35,02h 40m,"2,165,000 VND",Eco
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietjet Air,VJ183,05/07/2024,22:25,00:35,02h 10m,"2,165,000 VND",Eco
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietjet Air,VJ193,05/07/2024,05:00,07:10,02h 10m,"2,165,000 VND",Eco
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietjet Air,VJ199,05/07/2024,05:20,07:30,02h 10m,"2,165,000 VND",Eco
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietravel Airlines,VU751,05/07/2024,08:40,10:50,02h 10m,"2,317,000 VND",ECONOMY
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietravel Airlines,VU791,05/07/2024,21:20,23:35,02h 15m,"2,317,000 VND",ECONOMY
Hà Nội (HAN),Hồ Chí Minh (SGN),Bamboo Airways,QH201,05/07/2024,06:45,08:55,02h 10m,"2,320,000 VND",EconomySmart
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietnam Airlines,VN223,05/07/2024,23:00,01:10,02h 10m,"2,315,000 VND",Phổ thông tiết kiệm
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietnam Airlines,VN267,05/07/2024,22:00,00:10,02h 10m,"2,315,000 VND",Phổ thông tiết kiệm
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietnam Airlines,VN7217,05/07/2024,22:30,00:45,02h 15m,"2,315,000 VND",Phổ thông tiết kiệm
