Địa điểm khởi hành,Địa điểm đến,Hãng hàng không,Số hiệu chuyến bay,Ngày khởi hành,Giờ khởi hành,Giờ đến,Thời gian bay,Giá,Hạng vé
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietjet Air,VJ1139,07/07/2024,02:15,04:25,02h 10m,"1,854,000 VND",Eco
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietjet Air,VJ191,07/07/2024,04:50,07:00,02h 10m,"1,854,000 VND",Eco
Hà Nội (HAN),Hồ Chí Minh (SGN),Bamboo Airways,QH289,07/07/2024,23:30,01:40,02h 10m,"2,087,000 VND",EconomySmart
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietjet Air,VJ1131,07/07/2024,22:40,00:50,02h 10m,"2,165,000 VND",Eco
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietjet Air,VJ1135,07/07/2024,22:50,01:00,02h 10m,"2,165,000 VND",Eco
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietjet Air,VJ121,07/07/2024,06:00,08:10,02h 10m,"2,165,000 VND",Eco
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietjet Air,VJ123,07/07/2024,07:00,09:10,02h 10m,"2,165,000 VND",Eco
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietjet Air,VJ163,07/07/2024,22:50,01:00,02h 10m,"2,165,000 VND",Eco
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietjet Air,VJ165,07/07/2024,23:05,01:15,02h 10m,"2,165,000 VND",Eco
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietjet Air,VJ181,07/07/2024,22:55,01:35,02h 40m,"2,165,000 VND",Eco
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietjet Air,VJ183,07/07/2024,22:25,00:35,02h 10m,"2,165,000 VND",Eco
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietjet Air,VJ193,07/07/2024,05:00,07:10,02h 10m,"2,165,000 VND",Eco
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietjet Air,VJ199,07/07/2024,05:20,07:30,02h 10m,"2,165,000 VND",Eco
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietravel Airlines,VU727,07/07/2024,21:50,00:05,02h 15m,"2,317,000 VND",ECONOMY
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietravel Airlines,VU751,07/07/2024,08:40,10:50,02h 10m,"2,317,000 VND",ECONOMY
Hà Nội (HAN),Hồ Chí Minh (SGN),Bamboo Airways,QH201,07/07/2024,06:45,08:55,02h 10m,"2,320,000 VND",EconomySmart
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietnam Airlines,VN223,07/07/2024,23:00,01:10,02h 10m,"2,315,000 VND",Phổ thông tiết kiệm
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietnam Airlines,VN7217,07/07/2024,22:30,00:45,02h 15m,"2,315,000 VND",Phổ thông tiết kiệm
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietjet Air,VJ125,07/07/2024,08:10,10:25,02h 15m,"2,372,000 VND",Eco
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietjet Air,VJ131,07/07/2024,10:10,12:20,02h 10m,"2,372,000 VND",Eco
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietjet Air,VJ133,07/07/2024,12:10,14:20,02h 10m,"2,372,000 VND",Eco
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietjet Air,VJ135,07/07/2024,13:20,15:30,02h 10m,"2,372,000 VND",Eco
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietjet Air,VJ137,07/07/2024,13:50,15:55,02h 5m,"2,372,000 VND",Eco
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietjet Air,VJ139,07/07/2024,11:00,12:55,01h 55m,"2,372,000 VND",Eco
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietjet Air,VJ147,07/07/2024,16:30,18:40,02h 10m,"2,372,000 VND",Eco
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietjet Air,VJ169,07/07/2024,09:50,12:00,02h 10m,"2,372,000 VND",Eco
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietjet Air,VJ173,07/07/2024,15:10,17:20,02h 10m,"2,372,000 VND",Eco
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietjet Air,VJ175,07/07/2024,16:10,18:20,02h 10m,"2,372,000 VND",Eco
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietravel Airlines,VU727,07/07/2024,21:50,00:05,02h 15m,"2,525,000 VND",ECONOMY
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietravel Airlines,VU751,07/07/2024,08:40,10:50,02h 10m,"2,525,000 VND",ECONOMY
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietjet Air,VJ161,07/07/2024,21:20,23:30,02h 10m,"2,566,000 VND",Eco
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietnam Airlines,VN205,07/07/2024,05:00,07:10,02h 10m,"2,561,000 VND",Phổ thông tiết kiệm
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietnam Airlines,VN223,07/07/2024,23:00,01:10,02h 10m,"2,561,000 VND",Phổ thông tiết kiệm
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietnam Airlines,VN243,07/07/2024,06:00,08:10,02h 10m,"2,561,000 VND",Phổ thông tiết kiệm
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietnam Airlines,VN267,07/07/2024,22:00,00:10,02h 10m,"2,561,000 VND",Phổ thông tiết kiệm
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietnam Airlines,VN7209,07/07/2024,05:30,07:40,02h 10m,"2,561,000 VND",Phổ thông tiết kiệm
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietnam Airlines,VN7217,07/07/2024,22:30,00:45,02h 15m,"2,561,000 VND",Phổ thông tiết kiệm
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietnam Airlines,VN7253,07/07/2024,06:30,08:40,02h 10m,"2,561,000 VND",Phổ thông tiết kiệm
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietjet Air,VJ1139,07/07/2024,02:15,04:25,02h 10m,"2,761,000 VND",Deluxe
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietjet Air,VJ191,07/07/2024,04:50,07:00,02h 10m,"2,761,000 VND",Deluxe
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietjet Air,VJ157,07/07/2024,21:45,23:55,02h 10m,"2,787,000 VND",Eco
Hà Nội (HAN),Hồ Chí Minh (SGN),Bamboo Airways,QH211,07/07/2024,10:35,12:45,02h 10m,"2,813,000 VND",EconomySmart
Hà Nội (HAN),Hồ Chí Minh (SGN),Bamboo Airways,QH255,07/07/2024,16:25,18:35,02h 10m,"2,813,000 VND",EconomySmart
Hà Nội (HAN),Hồ Chí Minh (SGN),Bamboo Airways,QH263,07/07/2024,20:25,22:35,02h 10m,"2,813,000 VND",EconomySmart
Hà Nội (HAN),Hồ Chí Minh (SGN),Bamboo Airways,QH275,07/07/2024,18:10,20:20,02h 10m,"2,813,000 VND",EconomySmart
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietnam Airlines,VN205,07/07/2024,05:00,07:10,02h 10m,"2,808,000 VND",Phổ thông tiết kiệm
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietnam Airlines,VN223,07/07/2024,23:00,01:10,02h 10m,"2,808,000 VND",Phổ thông tiết kiệm
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietnam Airlines,VN243,07/07/2024,06:00,08:10,02h 10m,"2,808,000 VND",Phổ thông tiết kiệm
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietnam Airlines,VN267,07/07/2024,22:00,00:10,02h 10m,"2,808,000 VND",Phổ thông tiết kiệm
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietnam Airlines,VN7209,07/07/2024,05:30,07:40,02h 10m,"2,808,000 VND",Phổ thông tiết kiệm
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietnam Airlines,VN7215,07/07/2024,21:30,23:40,02h 10m,"2,808,000 VND",Phổ thông tiết kiệm
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietnam Airlines,VN7217,07/07/2024,22:30,00:45,02h 15m,"2,808,000 VND",Phổ thông tiết kiệm
