Địa điểm khởi hành,Địa điểm đến,Hãng hàng không,Số hiệu chuyến bay,Ngày khởi hành,Giờ khởi hành,Giờ đến,Thời gian bay,Giá,Hạng vé
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietjet Air,VJ1139,06/07/2024,02:15,04:25,02h 10m,"1,724,000 VND",Eco
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietravel Airlines,VU727,06/07/2024,21:50,00:05,02h 15m,"2,071,000 VND",ECONOMY
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietjet Air,VJ1131,06/07/2024,22:40,00:50,02h 10m,"2,009,000 VND",Eco
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietjet Air,VJ1135,06/07/2024,22:50,01:00,02h 10m,"2,009,000 VND",Eco
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietjet Air,VJ123,06/07/2024,07:00,09:10,02h 10m,"2,009,000 VND",Eco
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietjet Air,VJ157,06/07/2024,21:45,23:55,02h 10m,"2,009,000 VND",Eco
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietjet Air,VJ161,06/07/2024,21:20,23:30,02h 10m,"2,009,000 VND",Eco
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietjet Air,VJ163,06/07/2024,22:50,01:00,02h 10m,"2,009,000 VND",Eco
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietjet Air,VJ165,06/07/2024,23:05,01:15,02h 10m,"2,009,000 VND",Eco
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietjet Air,VJ175,06/07/2024,21:10,23:20,02h 10m,"2,009,000 VND",Eco
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietjet Air,VJ181,06/07/2024,22:55,01:35,02h 40m,"2,009,000 VND",Eco
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietjet Air,VJ183,06/07/2024,22:25,00:35,02h 10m,"2,009,000 VND",Eco
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietjet Air,VJ191,06/07/2024,04:50,07:00,02h 10m,"2,009,000 VND",Eco
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietjet Air,VJ193,06/07/2024,05:00,07:10,02h 10m,"2,009,000 VND",Eco
Hà Nội (HAN),Hồ Chí Minh (SGN),Bamboo Airways,QH289,06/07/2024,23:30,01:40,02h 10m,"2,087,000 VND",EconomySmart
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietnam Airlines,VN223,06/07/2024,23:00,01:10,02h 10m,"2,069,000 VND",Phổ thông tiết kiệm
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietjet Air,VJ121,06/07/2024,06:00,08:10,02h 10m,"2,165,000 VND",Eco
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietjet Air,VJ133,06/07/2024,12:10,14:20,02h 10m,"2,165,000 VND",Eco
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietjet Air,VJ135,06/07/2024,13:20,15:30,02h 10m,"2,165,000 VND",Eco
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietjet Air,VJ137,06/07/2024,13:40,15:50,02h 10m,"2,165,000 VND",Eco
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietjet Air,VJ147,06/07/2024,16:30,18:40,02h 10m,"2,165,000 VND",Eco
Hà Nội (HAN),Hồ Chí Minh (SGN),Vietjet Air,VJ155,06/07/2024,18:15,20:25,02h 10m,"2,165,000 VND",Eco
