Địa điểm khởi hành,Địa điểm đến,Hãng hàng không,Số hiệu chuyến bay,Ngày khởi hành,Giờ khởi hành,Giờ đến,Thời gian bay,Giá,Hạng vé
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7079,06/07/2024,23:55,01:15,01h 20m,"1,459,000 VND",Phổ thông tiết kiệm
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7077,06/07/2024,23:30,00:50,01h 20m,"1,628,000 VND",Phổ thông tiết kiệm
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7079,06/07/2024,23:55,01:15,01h 20m,"1,628,000 VND",Phổ thông tiết kiệm
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7189,06/07/2024,21:30,23:00,01h 30m,"1,628,000 VND",Phổ thông tiết kiệm
Hà Nội (HAN),Đà Nẵng (DAD),Vietravel Airlines,VU659,06/07/2024,21:20,22:40,01h 20m,"1,786,000 VND",ECONOMY
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7077,06/07/2024,23:30,00:50,01h 20m,"1,810,000 VND",Phổ thông tiết kiệm
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7079,06/07/2024,23:55,01:15,01h 20m,"1,810,000 VND",Phổ thông tiết kiệm
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7169,06/07/2024,22:00,23:25,01h 25m,"1,810,000 VND",Phổ thông tiết kiệm
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7189,06/07/2024,21:30,23:00,01h 30m,"1,810,000 VND",Phổ thông tiết kiệm
Hà Nội (HAN),Đà Nẵng (DAD),Vietravel Airlines,VU639,06/07/2024,17:00,18:20,01h 20m,"1,929,000 VND",ECONOMY
Hà Nội (HAN),Đà Nẵng (DAD),Vietravel Airlines,VU659,06/07/2024,21:20,22:40,01h 20m,"1,929,000 VND",ECONOMY
Hà Nội (HAN),Đà Nẵng (DAD),Vietjet Air,VJ513,06/07/2024,14:50,16:10,01h 20m,"1,996,000 VND",Eco
Hà Nội (HAN),Đà Nẵng (DAD),Vietjet Air,VJ519,06/07/2024,22:35,23:50,01h 15m,"1,996,000 VND",Eco
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN195,06/07/2024,18:55,20:20,01h 25m,"2,004,000 VND",Phổ thông tiết kiệm
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN197,06/07/2024,20:05,21:30,01h 25m,"2,004,000 VND",Phổ thông tiết kiệm
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7077,06/07/2024,23:30,00:50,01h 20m,"2,004,000 VND",Phổ thông tiết kiệm
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7079,06/07/2024,23:55,01:15,01h 20m,"2,004,000 VND",Phổ thông tiết kiệm
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7083,06/07/2024,20:15,21:35,01h 20m,"2,004,000 VND",Phổ thông tiết kiệm
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7169,06/07/2024,22:00,23:25,01h 25m,"2,004,000 VND",Phổ thông tiết kiệm
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7173,06/07/2024,20:35,22:00,01h 25m,"2,004,000 VND",Phổ thông tiết kiệm
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7179,06/07/2024,20:05,21:30,01h 25m,"2,004,000 VND",Phổ thông tiết kiệm
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7189,06/07/2024,21:30,23:00,01h 30m,"2,004,000 VND",Phổ thông tiết kiệm
Hà Nội (HAN),Đà Nẵng (DAD),Bamboo Airways,QH125,06/07/2024,18:15,19:35,01h 20m,"2,087,000 VND",EconomySmart
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN195,06/07/2024,18:55,20:20,01h 25m,"2,198,000 VND",Phổ thông tiết kiệm
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN197,06/07/2024,20:05,21:30,01h 25m,"2,198,000 VND",Phổ thông tiết kiệm
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7077,06/07/2024,23:30,00:50,01h 20m,"2,198,000 VND",Phổ thông tiết kiệm
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7079,06/07/2024,23:55,01:15,01h 20m,"2,198,000 VND",Phổ thông tiết kiệm
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7083,06/07/2024,20:15,21:35,01h 20m,"2,198,000 VND",Phổ thông tiết kiệm
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7169,06/07/2024,22:00,23:25,01h 25m,"2,198,000 VND",Phổ thông tiết kiệm
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7173,06/07/2024,20:35,22:00,01h 25m,"2,198,000 VND",Phổ thông tiết kiệm
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7179,06/07/2024,20:05,21:30,01h 25m,"2,198,000 VND",Phổ thông tiết kiệm
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7189,06/07/2024,21:30,23:00,01h 30m,"2,198,000 VND",Phổ thông tiết kiệm
Hà Nội (HAN),Đà Nẵng (DAD),Bamboo Airways,QH109,06/07/2024,13:50,15:15,01h 25m,"2,281,000 VND",EconomySmart
Hà Nội (HAN),Đà Nẵng (DAD),Vietjet Air,VJ507,06/07/2024,11:20,12:40,01h 20m,"2,320,000 VND",Eco
Hà Nội (HAN),Đà Nẵng (DAD),Vietjet Air,VJ531,06/07/2024,20:45,22:05,01h 20m,"2,320,000 VND",Eco
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN185,06/07/2024,16:55,18:25,01h 30m,"2,393,000 VND",Phổ thông tiêu chuẩn
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN195,06/07/2024,18:55,20:20,01h 25m,"2,393,000 VND",Phổ thông tiêu chuẩn
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN197,06/07/2024,20:05,21:30,01h 25m,"2,393,000 VND",Phổ thông tiêu chuẩn
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7077,06/07/2024,23:30,00:50,01h 20m,"2,393,000 VND",Phổ thông tiêu chuẩn
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7079,06/07/2024,23:55,01:15,01h 20m,"2,393,000 VND",Phổ thông tiêu chuẩn
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7083,06/07/2024,20:15,21:35,01h 20m,"2,393,000 VND",Phổ thông tiêu chuẩn
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7169,06/07/2024,22:00,23:25,01h 25m,"2,393,000 VND",Phổ thông tiêu chuẩn
