Địa điểm khởi hành,Địa điểm đến,Hãng hàng không,Số hiệu chuyến bay,Ngày khởi hành,Giờ khởi hành,Giờ đến,Thời gian bay,Giá,Hạng vé
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7077,03/07/2024,23:30,00:50,01h 20m,"1,459,000 VND",Phổ thông tiết kiệm
Hà Nội (HAN),Đà Nẵng (DAD),Vietjet Air,VJ1501,03/07/2024,23:40,01:00,01h 20m,"1,491,000 VND",Eco
Hà Nội (HAN),Đà Nẵng (DAD),Vietjet Air,VJ1503,03/07/2024,23:50,01:10,01h 20m,"1,491,000 VND",Eco
Hà Nội (HAN),Đà Nẵng (DAD),Vietjet Air,VJ519,03/07/2024,22:35,23:50,01h 15m,"1,491,000 VND",Eco
Hà Nội (HAN),Đà Nẵng (DAD),Vietjet Air,VJ523,03/07/2024,21:05,22:25,01h 20m,"1,491,000 VND",Eco
Hà Nội (HAN),Đà Nẵng (DAD),Vietjet Air,VJ525,03/07/2024,21:05,22:20,01h 15m,"1,491,000 VND",Eco
Hà Nội (HAN),Đà Nẵng (DAD),Vietjet Air,VJ531,03/07/2024,20:45,22:05,01h 20m,"1,491,000 VND",Eco
Hà Nội (HAN),Đà Nẵng (DAD),Vietjet Air,VJ533,03/07/2024,22:00,23:20,01h 20m,"1,491,000 VND",Eco
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7077,03/07/2024,23:30,00:50,01h 20m,"1,628,000 VND",Phổ thông tiết kiệm
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7169,03/07/2024,21:55,23:20,01h 25m,"1,628,000 VND",Phổ thông tiết kiệm
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7173,03/07/2024,20:35,22:00,01h 25m,"1,628,000 VND",Phổ thông tiết kiệm
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7189,03/07/2024,21:30,23:00,01h 30m,"1,628,000 VND",Phổ thông tiết kiệm
Hà Nội (HAN),Đà Nẵng (DAD),Vietravel Airlines,VU639,03/07/2024,17:00,18:20,01h 20m,"1,786,000 VND",ECONOMY
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7077,03/07/2024,23:30,00:50,01h 20m,"1,810,000 VND",Phổ thông tiết kiệm
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7169,03/07/2024,21:55,23:20,01h 25m,"1,810,000 VND",Phổ thông tiết kiệm
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7173,03/07/2024,20:35,22:00,01h 25m,"1,810,000 VND",Phổ thông tiết kiệm
Hà Nội (HAN),Đà Nẵng (DAD),Vietnam Airlines,VN7189,03/07/2024,21:30,23:00,01h 30m,"1,810,000 VND",Phổ thông tiết kiệm
Hà Nội (HAN),Đà Nẵng (DAD),Vietjet Air,VJ509,03/07/2024,18:55,20:15,01h 20m,"1,854,000 VND",Eco
Hà Nội (HAN),Đà Nẵng (DAD),Vietjet Air,VJ513,03/07/2024,14:50,16:10,01h 20m,"1,854,000 VND",Eco
Hà Nội (HAN),Đà Nẵng (DAD),Vietjet Air,VJ527,03/07/2024,19:10,20:30,01h 20m,"1,854,000 VND",Eco
Hà Nội (HAN),Đà Nẵng (DAD),Bamboo Airways,QH125,03/07/2024,18:15,19:35,01h 20m,"1,892,000 VND",EconomySmart
