Địa điểm khởi hành,Địa điểm đến,Hãng hàng không,Số hiệu chuyến bay,Ngày khởi hành,Giờ khởi hành,Giờ đến,Thời gian bay,Giá,Hạng vé
Hà Nội (HAN),Phú Quốc (PQC),Vietjet Air,VJ449,07/07/2024,18:10,20:15,02h 5m,"2,242,000 VND",Eco
Hà Nội (HAN),Phú Quốc (PQC),Vietjet Air,VJ459,07/07/2024,14:15,16:20,02h 5m,"2,242,000 VND",Eco
Hà Nội (HAN),Phú Quốc (PQC),Vietjet Air,VJ457,07/07/2024,12:15,14:20,02h 5m,"2,502,000 VND",Eco
Hà Nội (HAN),Phú Quốc (PQC),Vietnam Airlines,VN1231,07/07/2024,05:50,08:00,02h 10m,"2,652,000 VND",Phổ thông tiết kiệm
Hà Nội (HAN),Phú Quốc (PQC),Vietjet Air,VJ451,07/07/2024,06:30,08:35,02h 5m,"2,748,000 VND",Eco
Hà Nội (HAN),Phú Quốc (PQC),Vietnam Airlines,VN1231,07/07/2024,05:50,08:00,02h 10m,"3,002,000 VND",Phổ thông tiết kiệm
Hà Nội (HAN),Phú Quốc (PQC),Vietnam Airlines,VN1237,07/07/2024,08:55,11:05,02h 10m,"3,002,000 VND",Phổ thông tiết kiệm
Hà Nội (HAN),Phú Quốc (PQC),Vietnam Airlines,VN1239,07/07/2024,11:05,13:15,02h 10m,"3,002,000 VND",Phổ thông tiết kiệm
Hà Nội (HAN),Phú Quốc (PQC),Vietjet Air,VJ449,07/07/2024,18:10,20:15,02h 5m,"3,150,000 VND",Deluxe
Hà Nội (HAN),Phú Quốc (PQC),Vietjet Air,VJ459,07/07/2024,14:15,16:20,02h 5m,"3,150,000 VND",Deluxe
Hà Nội (HAN),Phú Quốc (PQC),Vietnam Airlines,VN1231,07/07/2024,05:50,08:00,02h 10m,"3,313,000 VND",Phổ thông tiết kiệm
Hà Nội (HAN),Phú Quốc (PQC),Vietnam Airlines,VN1237,07/07/2024,08:55,11:05,02h 10m,"3,313,000 VND",Phổ thông tiết kiệm
Hà Nội (HAN),Phú Quốc (PQC),Vietnam Airlines,VN1239,07/07/2024,11:05,13:15,02h 10m,"3,313,000 VND",Phổ thông tiết kiệm
